idx; time; symbol; price; 52wh; 52wchp; 200da; dd52; trend; volume; shortName; longName
01; 2026.02.03 17:35:47; VWCE.DE; 148,10; 150,38; 7,76; 137,58; -1,52; 1,08; 188463; Vanguard FTSE All-World U.ETF R; Vanguard FTSE All-World UCITS ETF USD Accumulation
02; 2026.02.03 17:36:07; SXRV.DE; 1234,60; 1301,60; 5,44; 1160,27; -5,15; 1,06; 9989; iShsVII-NASDAQ 100 UCITS ETF  R; iShares NASDAQ 100 UCITS ETF USD (Acc)
03; 2026.02.03 17:36:00; AMEE.DE; 683,30; 684,60; 48,89; 537,33; -0,19; 1,27; 765; Amundi Glbl Hydrogen UCITS ETFA; Amundi Global Hydrogen UCITS ETF - Acc
04; 2026.02.03 17:35:56; LSMC.DE; 76,39; 79,58; 50,68; 61,26; -4,01; 1,25; 55319; MUL-Am.MSCI Semiconductor UE  N; Amundi MSCI Semiconductors ESG Screened UCITS ETF
05; 2026.02.03_17:36:09; DFEN.DE; 60,72; 64,51; 57,27; 51,11; -5,88; 1,19; 394490; VanEck ETFs-VanEck Defense ETFR; VanEck Defense ETF A USD Acc
06; 2026.02.03_17:35:56; WTIF.DE; 48,56; 49,20; 39,54; 40,22; -1,30; 1,21; 5388; WisdomTree Japan Equity UC.ETFR; WisdomTree Japan Equity UCITS ETF - EUR Hedged Acc
07; 2026.02.03_17:35:55; EUDF.DE; 33,54; 36,03; 33,13; 30,62; -6,92; 1,10; 292658; WisdomTree-Eur.Defence ETF    R; WisdomTree Europe Defence UCITS ETF - EUR Acc
08; 2026.02.03_17:36:13; LYBK.DE; 346,95; 349,15; 82,76; 276,62; -0,63; 1,25; 24122; MUL Amundi Euro Stoxx Banks   U; Amundi Euro Stoxx Banks UCITS ETF Acc
09; 2026.02.03_17:36:00; IBCJ.DE; 30,56; 30,70; 45,49; 25,57; -0,46; 1,20; 150228; iShsV-MSCI Poland UCITS ETF   R; iShares V PLC - iShares MSCI Poland UCITS ETF
10; 2026.02.03_17:35:52; SXR2.DE; 239,80; 246,50; 17,22; 217,09; -2,72; 1,10; 4373; iShs VII-MSCI EM Canada U.ETF R; iShares VII PLC - iShares MSCI Canada ETF USD Acc
11; 2026.02.03_17:36:08; UFMB.DE; 21,10; 21,20; 23,21; 19,12; -0,50; 1,10; 6660; UBS(L)FS-MSCI UK UCITS ETF    N; UBS MSCI United Kingdom UCITS ETF hEUR acc
12; 2026.02.03_17:35:58; CEMR.DE; 15,71; 15,82; 26,38; 13,79; -0,67; 1,14; 227066; iShsIV-Edge MSCI Eu.Mo.F.U.ETFR; iShares Edge MSCI Europe Momentum Factor UCITS ETF EUR (Acc)
13; 2026.02.03_17:36:02; XB4A.DE; 117,04; 117,04; 55,17; 96,53; 0,00; 1,21; 5226; Xtrackers ATX                 I; Xtrackers ATX UCITS ETF 1C
14; 2026.02.03_17:36:12; XESP.DE; 57,73; 58,23; 54,61; 48,01; -0,86; 1,20; 36752; Xtrackers Spain               I; Xtrackers Spain UCITS ETF 1C
01; 2026.02.03_17:35:47; VWCE.DE; 148,10; 150,38; 7,76; 137,58; -1,52; 1,08; 188463; Vanguard FTSE All-World U.ETF R; Vanguard FTSE All-World UCITS ETF USD Accumulation
02; 2026.02.03_17:36:07; SXRV.DE; 1234,60; 1301,60; 5,44; 1160,27; -5,15; 1,06; 9989; iShsVII-NASDAQ 100 UCITS ETF  R; iShares NASDAQ 100 UCITS ETF USD (Acc)
03; 2026.02.03_17:36:00; AMEE.DE; 683,30; 684,60; 48,89; 537,33; -0,19; 1,27; 765; Amundi Glbl Hydrogen UCITS ETFA; Amundi Global Hydrogen UCITS ETF - Acc
04; 2026.02.03_17:35:56; LSMC.DE; 76,39; 79,58; 50,68; 61,26; -4,01; 1,25; 55319; MUL-Am.MSCI Semiconductor UE  N; Amundi MSCI Semiconductors ESG Screened UCITS ETF
05; 2026.02.03_17:36:09; DFEN.DE; 60,72; 64,51; 57,27; 51,11; -5,88; 1,19; 394490; VanEck ETFs-VanEck Defense ETFR; VanEck Defense ETF A USD Acc
06; 2026.02.03_17:35:56; WTIF.DE; 48,56; 49,20; 39,54; 40,22; -1,30; 1,21; 5388; WisdomTree Japan Equity UC.ETFR; WisdomTree Japan Equity UCITS ETF - EUR Hedged Acc
07; 2026.02.03_17:35:55; EUDF.DE; 33,54; 36,03; 33,13; 30,62; -6,92; 1,10; 292658; WisdomTree-Eur.Defence ETF    R; WisdomTree Europe Defence UCITS ETF - EUR Acc
08; 2026.02.03_17:36:13; LYBK.DE; 346,95; 349,15; 82,76; 276,62; -0,63; 1,25; 24122; MUL Amundi Euro Stoxx Banks   U; Amundi Euro Stoxx Banks UCITS ETF Acc
09; 2026.02.03_17:36:00; IBCJ.DE; 30,56; 30,70; 45,49; 25,57; -0,46; 1,20; 150228; iShsV-MSCI Poland UCITS ETF   R; iShares V PLC - iShares MSCI Poland UCITS ETF
10; 2026.02.03_17:35:52; SXR2.DE; 239,80; 246,50; 17,22; 217,09; -2,72; 1,10; 4373; iShs VII-MSCI EM Canada U.ETF R; iShares VII PLC - iShares MSCI Canada ETF USD Acc
11; 2026.02.03_17:36:08; UFMB.DE; 21,10; 21,20; 23,21; 19,12; -0,50; 1,10; 6660; UBS(L)FS-MSCI UK UCITS ETF    N; UBS MSCI United Kingdom UCITS ETF hEUR acc
12; 2026.02.03_17:35:58; CEMR.DE; 15,71; 15,82; 26,38; 13,79; -0,67; 1,14; 227066; iShsIV-Edge MSCI Eu.Mo.F.U.ETFR; iShares Edge MSCI Europe Momentum Factor UCITS ETF EUR (Acc)
13; 2026.02.03_17:36:02; XB4A.DE; 117,04; 117,04; 55,17; 96,53; 0,00; 1,21; 5226; Xtrackers ATX                 I; Xtrackers ATX UCITS ETF 1C
14; 2026.02.03_17:36:12; XESP.DE; 57,73; 58,23; 54,61; 48,01; -0,86; 1,20; 36752; Xtrackers Spain               I; Xtrackers Spain UCITS ETF 1C
01; 2026.02.03_17:35:47; VWCE.DE; 148,10; 150,38; 8,12; 137,58; -1,52; 1,08; 188463; Vanguard FTSE All-World U.ETF R; Vanguard FTSE All-World UCITS ETF USD Accumulation
02; 2026.02.03_17:36:07; SXRV.DE; 1234,60; 1301,60; 5,96; 1160,27; -5,15; 1,06; 9989; iShsVII-NASDAQ 100 UCITS ETF  R; iShares NASDAQ 100 UCITS ETF USD (Acc)
03; 2026.02.03_17:36:00; AMEE.DE; 683,30; 684,60; 48,62; 537,33; -0,19; 1,27; 765; Amundi Glbl Hydrogen UCITS ETFA; Amundi Global Hydrogen UCITS ETF - Acc
04; 2026.02.03_17:35:56; LSMC.DE; 76,39; 79,58; 44,02; 61,45; -4,01; 1,24; 55319; MUL-Am.MSCI Semiconductor UE  N; Amundi MSCI Semiconductors ESG Screened UCITS ETF
05; 2026.02.03_17:36:09; DFEN.DE; 60,72; 64,51; 62,33; 51,20; -5,88; 1,19; 394490; VanEck ETFs-VanEck Defense ETFR; VanEck Defense ETF A USD Acc
06; 2026.02.03_17:35:56; WTIF.DE; 48,56; 49,20; 40,32; 40,22; -1,30; 1,21; 5388; WisdomTree Japan Equity UC.ETFR; WisdomTree Japan Equity UCITS ETF - EUR Hedged Acc
07; 2026.02.03_17:35:55; EUDF.DE; 33,54; 36,03; 34,03; 30,65; -6,92; 1,09; 292658; WisdomTree-Eur.Defence ETF    R; WisdomTree Europe Defence UCITS ETF - EUR Acc
08; 2026.02.03_17:36:13; LYBK.DE; 346,95; 349,15; 81,63; 276,62; -0,63; 1,25; 24122; MUL Amundi Euro Stoxx Banks   U; Amundi Euro Stoxx Banks UCITS ETF Acc
09; 2026.02.03_17:36:00; IBCJ.DE; 30,56; 30,70; 45,81; 25,57; -0,46; 1,20; 150228; iShsV-MSCI Poland UCITS ETF   R; iShares V PLC - iShares MSCI Poland UCITS ETF
10; 2026.02.03_17:35:52; SXR2.DE; 239,80; 246,50; 16,96; 217,09; -2,72; 1,10; 4373; iShs VII-MSCI EM Canada U.ETF R; iShares VII PLC - iShares MSCI Canada ETF USD Acc
11; 2026.02.03_17:36:08; UFMB.DE; 21,10; 21,20; 21,61; 19,12; -0,50; 1,10; 6660; UBS(L)FS-MSCI UK UCITS ETF    N; UBS MSCI United Kingdom UCITS ETF hEUR acc
12; 2026.02.03_17:35:58; CEMR.DE; 15,71; 15,82; 25,91; 13,79; -0,67; 1,14; 227066; iShsIV-Edge MSCI Eu.Mo.F.U.ETFR; iShares Edge MSCI Europe Momentum Factor UCITS ETF EUR (Acc)
13; 2026.02.03_17:36:02; XB4A.DE; 117,04; 117,04; 54,92; 96,53; 0,00; 1,21; 5226; Xtrackers ATX                 I; Xtrackers ATX UCITS ETF 1C
14; 2026.02.03_17:36:12; XESP.DE; 57,73; 58,23; 52,67; 48,01; -0,86; 1,20; 36752; Xtrackers Spain               I; Xtrackers Spain UCITS ETF 1C
01; 2026.02.03_17:35:47; VWCE.DE; 148,10; 150,38; 8,12; 137,58; -1,52; 1,08; 188463; Vanguard FTSE All-World U.ETF R; Vanguard FTSE All-World UCITS ETF USD Accumulation
02; 2026.02.03_17:36:07; SXRV.DE; 1234,60; 1301,60; 5,96; 1160,27; -5,15; 1,06; 9989; iShsVII-NASDAQ 100 UCITS ETF  R; iShares NASDAQ 100 UCITS ETF USD (Acc)
03; 2026.02.03_17:36:00; AMEE.DE; 683,30; 684,60; 48,62; 537,33; -0,19; 1,27; 765; Amundi Glbl Hydrogen UCITS ETFA; Amundi Global Hydrogen UCITS ETF - Acc
04; 2026.02.03_17:35:56; LSMC.DE; 76,39; 79,58; 44,02; 61,45; -4,01; 1,24; 55319; MUL-Am.MSCI Semiconductor UE  N; Amundi MSCI Semiconductors ESG Screened UCITS ETF
05; 2026.02.03_17:36:09; DFEN.DE; 60,72; 64,51; 62,33; 51,20; -5,88; 1,19; 394490; VanEck ETFs-VanEck Defense ETFR; VanEck Defense ETF A USD Acc
06; 2026.02.03_17:35:56; WTIF.DE; 48,56; 49,20; 40,32; 40,22; -1,30; 1,21; 5388; WisdomTree Japan Equity UC.ETFR; WisdomTree Japan Equity UCITS ETF - EUR Hedged Acc
07; 2026.02.03_17:35:55; EUDF.DE; 33,54; 36,03; 34,03; 30,65; -6,92; 1,09; 292658; WisdomTree-Eur.Defence ETF    R; WisdomTree Europe Defence UCITS ETF - EUR Acc
08; 2026.02.03_17:36:13; LYBK.DE; 346,95; 349,15; 81,63; 276,62; -0,63; 1,25; 24122; MUL Amundi Euro Stoxx Banks   U; Amundi Euro Stoxx Banks UCITS ETF Acc
09; 2026.02.03_17:36:00; IBCJ.DE; 30,56; 30,70; 45,81; 25,57; -0,46; 1,20; 150228; iShsV-MSCI Poland UCITS ETF   R; iShares V PLC - iShares MSCI Poland UCITS ETF
10; 2026.02.03_17:35:52; SXR2.DE; 239,80; 246,50; 16,96; 217,09; -2,72; 1,10; 4373; iShs VII-MSCI EM Canada U.ETF R; iShares VII PLC - iShares MSCI Canada ETF USD Acc
11; 2026.02.03_17:36:08; UFMB.DE; 21,10; 21,20; 21,61; 19,12; -0,50; 1,10; 6660; UBS(L)FS-MSCI UK UCITS ETF    N; UBS MSCI United Kingdom UCITS ETF hEUR acc
12; 2026.02.03_17:35:58; CEMR.DE; 15,71; 15,82; 25,91; 13,79; -0,67; 1,14; 227066; iShsIV-Edge MSCI Eu.Mo.F.U.ETFR; iShares Edge MSCI Europe Momentum Factor UCITS ETF EUR (Acc)
13; 2026.02.03_17:36:02; XB4A.DE; 117,04; 117,04; 54,92; 96,53; 0,00; 1,21; 5226; Xtrackers ATX                 I; Xtrackers ATX UCITS ETF 1C
14; 2026.02.03_17:36:12; XESP.DE; 57,73; 58,23; 52,67; 48,01; -0,86; 1,20; 36752; Xtrackers Spain               I; Xtrackers Spain UCITS ETF 1C
01; 2026.02.03_17:35:47; VWCE.DE; 148,10; 150,38; 8,12; 137,58; -1,52; 1,08; 188463; Vanguard FTSE All-World U.ETF R; Vanguard FTSE All-World UCITS ETF USD Accumulation
02; 2026.02.03_17:36:07; SXRV.DE; 1234,60; 1301,60; 5,96; 1160,27; -5,15; 1,06; 9989; iShsVII-NASDAQ 100 UCITS ETF  R; iShares NASDAQ 100 UCITS ETF USD (Acc)
03; 2026.02.03_17:36:00; AMEE.DE; 683,30; 684,60; 48,62; 537,33; -0,19; 1,27; 765; Amundi Glbl Hydrogen UCITS ETFA; Amundi Global Hydrogen UCITS ETF - Acc
04; 2026.02.03_17:35:56; LSMC.DE; 76,39; 79,58; 44,02; 61,45; -4,01; 1,24; 55319; MUL-Am.MSCI Semiconductor UE  N; Amundi MSCI Semiconductors ESG Screened UCITS ETF
05; 2026.02.03_17:36:09; DFEN.DE; 60,72; 64,51; 62,33; 51,20; -5,88; 1,19; 394490; VanEck ETFs-VanEck Defense ETFR; VanEck Defense ETF A USD Acc
06; 2026.02.03_17:35:56; WTIF.DE; 48,56; 49,20; 40,32; 40,22; -1,30; 1,21; 5388; WisdomTree Japan Equity UC.ETFR; WisdomTree Japan Equity UCITS ETF - EUR Hedged Acc
07; 2026.02.03_17:35:55; EUDF.DE; 33,54; 36,03; 34,03; 30,65; -6,92; 1,09; 292658; WisdomTree-Eur.Defence ETF    R; WisdomTree Europe Defence UCITS ETF - EUR Acc
08; 2026.02.03_17:36:13; LYBK.DE; 346,95; 349,15; 81,63; 276,62; -0,63; 1,25; 24122; MUL Amundi Euro Stoxx Banks   U; Amundi Euro Stoxx Banks UCITS ETF Acc
09; 2026.02.03_17:36:00; IBCJ.DE; 30,56; 30,70; 45,81; 25,57; -0,46; 1,20; 150228; iShsV-MSCI Poland UCITS ETF   R; iShares V PLC - iShares MSCI Poland UCITS ETF
10; 2026.02.03_17:35:52; SXR2.DE; 239,80; 246,50; 16,96; 217,09; -2,72; 1,10; 4373; iShs VII-MSCI EM Canada U.ETF R; iShares VII PLC - iShares MSCI Canada ETF USD Acc
11; 2026.02.03_17:36:08; UFMB.DE; 21,10; 21,20; 21,61; 19,12; -0,50; 1,10; 6660; UBS(L)FS-MSCI UK UCITS ETF    N; UBS MSCI United Kingdom UCITS ETF hEUR acc
12; 2026.02.03_17:35:58; CEMR.DE; 15,71; 15,82; 25,91; 13,79; -0,67; 1,14; 227066; iShsIV-Edge MSCI Eu.Mo.F.U.ETFR; iShares Edge MSCI Europe Momentum Factor UCITS ETF EUR (Acc)
13; 2026.02.03_17:36:02; XB4A.DE; 117,04; 117,04; 54,92; 96,53; 0,00; 1,21; 5226; Xtrackers ATX                 I; Xtrackers ATX UCITS ETF 1C
14; 2026.02.03_17:36:12; XESP.DE; 57,73; 58,23; 52,67; 48,01; -0,86; 1,20; 36752; Xtrackers Spain               I; Xtrackers Spain UCITS ETF 1C
